Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
53G1360,393127,423190,1,16/03/2018,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,11,,,,,,,,,,,,,,,,,,,,,,,,,
53H1616,407886,428560,1,17/03/2018,2001,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Car,Vehicle or pillion passenger,Slight,Male,31,,,,,,,,,,,,,,,,,,,,,,,,,
53I0292,409785,424503,1,18/03/2018,240,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,43,,Vehicle or pillion passenger,Slight,Female,56,,,,,,,,,,,,,,,,,,,,
53J1209,408172,424356,2,19/03/2018,835,Unclassified,Frost / Ice,Daylight: street lights present,Other,Car,Driver or rider,Slight,Female,56,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Male,58,,,,,,,,,,,,,,,,,,,,
53K0329,391730,425625,1,20/03/2018,839,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,3,,,,,,,,,,,,,,,,,,,,,,,,,
53M0309,411719,425541,2,22/03/2018,815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,59,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
53M0361,393477,424610,2,21/03/2018,930,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,47,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
53M0462,409407,424094,2,22/03/2018,948,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,40,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
53N0990,412035,427653,2,23/03/2018,1418,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,71,Taxi/Private hire car,Driver or rider,Serious,Male,31,,Vehicle or pillion passenger,Serious,Female,38,,,,,,,,,,,,,,,
53O0768,408704,425938,4,24/03/2018,1144,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,34,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
53O1841,399939,415089,2,18/03/2018,2223,Motorway,Snow,Darkness: street lights present and lit,Fine with high winds,Car,Driver or rider,Slight,Male,51,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
53Q0544,408555,425577,1,26/03/2018,1108,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,27,,,,,,,,,,,,,,,,,,,,,,,,,
53Q0908,396387,427539,2,26/03/2018,1412,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,63,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
53S0802,411116,421281,2,28/03/2018,1310,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,23,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
53S1233,406258,423898,1,28/03/2018,1553,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,10,,,,,,,,,,,,,,,,,,,,,,,,,
53T1209,409400,425468,1,28/03/2018,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Serious,Female,82,,,,,,,,,,,,,,,,,,,,,,,,,
53U0686,398366,414764,2,30/03/2018,1145,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Fatal,Male,36,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5410154,409524,422500,2,01/04/2018,117,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,18,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5421362,417047,423270,1,02/04/2018,1820,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,20,,,,,,,,,,,,,,,,,,,,,,,,,
5431534,406127,423646,2,03/04/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5431566,409169,425910,1,03/04/2018,1853,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,15,,,,,,,,,,,,,,,,,,,,,,,,,
5450547,399810,415039,2,05/04/2018,1114,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,9,Car,Vehicle or pillion passenger,Slight,Male,6,,,,,,,,,,,,,,,,,,,,
5450605,416393,422225,2,05/04/2018,1145,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Fatal,Male,74,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5470735,405316,424761,2,07/04/2018,1055,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,27,Car,Driver or rider,Slight,Male,27,,,,,,,,,,,,,,,,,,,,
54A1662,407591,425125,2,10/04/2018,1950,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Car,Driver or rider,Slight,Female,33,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
54B0983,416307,422213,2,11/04/2018,1525,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
54B1420,416483,422136,3,11/04/2018,1900,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,23,Car,Driver or rider,Slight,Male,59,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
54C1022,408659,424770,1,12/04/2018,1530,A,Dry,Daylight: street lights present,Raining without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight,Female,24,,,,,,,,,,,,,,,,,,,,,,,,,
54G0834,408765,426102,1,16/04/2018,1312,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,67,,,,,,,,,,,,,,,,,,,,,,,,,
54H0181,409318,424756,1,17/04/2018,334,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,36,,,,,,,,,,,,,,,,,,,,,,,,,
54H1759,401002,427162,2,17/04/2018,2050,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,55,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
54I0244,408031,418027,3,18/04/2018,702,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,56,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
54I1035,407853,424129,2,18/04/2018,1455,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
54K2239,399421,429023,1,20/04/2018,2318,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,62,,,,,,,,,,,,,,,,,,,,,,,,,
54O0346,403342,418093,1,24/04/2018,814,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,14,,,,,,,,,,,,,,,,,,,,,,,,,
54O1465,409652,421066,1,24/04/2018,1759,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,29,,,,,,,,,,,,,,,,,,,,,,,,,
54P0240,409526,424565,2,25/04/2018,739,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
54R0904,407581,427792,2,24/04/2018,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Driver or rider,Slight,Male,40,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
54T0046,403941,419776,2,29/04/2018,20,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,37,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,24,,,,,,,,,,,,,,,,,,,,
5510970,406593,428169,2,01/05/2018,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,26,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5571302,405703,423373,2,07/05/2018,1607,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,60,Car,Vehicle or pillion passenger,Slight,Female,59,,,,,,,,,,,,,,,,,,,,
5580398,408258,427160,2,08/05/2018,825,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5581544,409060,425737,2,08/05/2018,1735,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,26,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55B1045,409193,425879,3,11/05/2018,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,23,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,
55C0614,390966,426251,1,12/05/2018,1018,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,32,,,,,,,,,,,,,,,,,,,,,,,,,
55F0301,409426,423450,1,15/05/2018,812,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,10,,,,,,,,,,,,,,,,,,,,,,,,,
55F0771,413600,423174,2,15/05/2018,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,45,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55F1579,411810,427835,3,15/05/2018,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,42,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,54,Car,Driver or rider,Slight,Male,45,,,,,,,,,,,,,,,
55H1114,404376,421097,2,17/05/2018,1518,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,33,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55I1762,404480,423357,1,18/05/2018,1931,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,,,,,,,,,,,,,,,,,,,,,,,,,
55I1816,414085,423184,2,18/05/2018,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,59,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55J1548,416483,422134,2,19/05/2018,1853,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,37,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55J2098,407636,424223,2,19/05/2018,2300,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55K1261,407617,425607,2,20/05/2018,1607,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,4,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55L2017,394261,424284,2,21/05/2018,1930,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,17,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55M0801,412461,425468,2,23/05/2018,1200,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,59,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55M1519,409104,423188,2,22/05/2018,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,67,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55M2071,416897,422062,2,23/05/2018,38,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,14,Car,Vehicle or pillion passenger,Slight,Male,14,,Vehicle or pillion passenger,Slight,Male,15,,Vehicle or pillion passenger,Slight,Male,16,,Driver or rider,Slight,Male,27,,Vehicle or pillion passenger,Slight,Female,25
55N1521,408115,425482,1,23/05/2018,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,8,,,,,,,,,,,,,,,,,,,,,,,,,
55Q0970,400415,415182,2,26/05/2018,1315,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,35,Car,Vehicle or pillion passenger,Slight,Female,36,,Driver or rider,Slight,Male,20,,Vehicle or pillion passenger,Slight,Female,21,,,,,,,,,,
55U1387,411863,427785,1,30/05/2018,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,44,,,,,,,,,,,,,,,,,,,,,,,,,
55V0612,406710,424321,3,31/05/2018,1046,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,26,Car,Vehicle or pillion passenger,Slight,Male,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5610656,401689,415677,4,01/06/2018,1100,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,54,Car,Vehicle or pillion passenger,Slight,Female,57,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
5611051,411401,419615,2,01/06/2018,1405,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5611735,414352,422842,2,01/06/2018,1545,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5630280,412961,429050,2,03/06/2018,242,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,30,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5640367,408878,424927,2,04/06/2018,755,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,42,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5640948,414875,425171,3,04/06/2018,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,69,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5650808,394142,424223,3,05/06/2018,1320,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,77,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5671714,409801,425714,2,07/06/2018,1640,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,17,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5692198,407400,425926,2,09/06/2018,2330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,Driver or rider,Slight,Male,57,,,,,,,,,,,,,,,,,,,,
56C0930,407105,424856,2,12/06/2018,1405,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,57,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56C1054,405655,423182,1,14/06/2018,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,10,,,,,,,,,,,,,,,,,,,,,,,,,
56C1338,406974,429774,2,12/06/2018,1658,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56D0393,409121,425241,2,13/06/2018,852,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56E0645,400187,427313,2,14/06/2018,1049,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,83,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56F1049,415384,422703,2,15/06/2018,1452,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56F1467,407029,427522,2,15/06/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56G1182,400634,415258,2,16/06/2018,1520,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,35,Goods vehicle 7.5 tonnes mgw and over,Vehicle or pillion passenger,Slight,Female,13,,,,,,,,,,,,,,,,,,,,
56G1338,406089,423628,1,16/06/2018,1650,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious,Male,69,,,,,,,,,,,,,,,,,,,,,,,,,
56I0659,405701,423371,2,18/06/2018,1135,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,48,Car,Driver or rider,Slight,Male,30,,,,,,,,,,,,,,,,,,,,
56J0695,391214,426177,2,19/06/2018,1130,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Driver or rider,Slight,Female,36,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56K0799,393039,423189,1,20/06/2018,1250,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,73,,,,,,,,,,,,,,,,,,,,,,,,,
56K0956,414776,422788,2,20/06/2018,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,38,Car,Vehicle or pillion passenger,Slight,Female,51,,,,,,,,,,,,,,,,,,,,
56M1039,400772,424860,2,22/06/2018,1431,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,51,Motorcycle over 125cc and up to 500cc,Vehicle or pillion passenger,Serious,Female,30,,,,,,,,,,,,,,,,,,,,
56O0150,407436,430176,3,24/06/2018,200,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,43,Car,Vehicle or pillion passenger,Slight,Male,50,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
56O0904,398065,426953,2,24/06/2018,1319,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,75,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56O1289,405875,423976,2,24/06/2018,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,11,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56P1809,400255,426523,2,25/06/2018,1937,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,52,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56Q1217,406688,425923,2,26/06/2018,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Mobility Scooter,Driver or rider,Slight,Male,55,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56R0438,405322,420270,1,27/06/2018,715,B,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,51,,,,,,,,,,,,,,,,,,,,,,,,,
56R0589,417615,420647,1,27/06/2018,1012,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,52,,,,,,,,,,,,,,,,,,,,,,,,,
56R1098,414183,423529,2,27/06/2018,1429,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,44,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56S0814,405364,420291,2,28/06/2018,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56T0401,412765,428963,2,29/06/2018,730,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56T1002,407484,424293,3,29/06/2018,929,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
56T1095,407506,424657,1,29/06/2018,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,6,,,,,,,,,,,,,,,,,,,,,,,,,
56T1354,405191,422860,2,29/06/2018,1529,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,5,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56U0788,414734,424569,3,30/06/2018,1045,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,59,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5721915,413781,421549,2,02/07/2018,2019,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5731154,416467,422063,2,03/07/2018,1537,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5731405,416824,422528,2,03/07/2018,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,54,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5740392,413245,420679,2,04/07/2018,734,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28,Car,Driver or rider,Slight,Male,21,,,,,,,,,,,,,,,,,,,,
5741082,409772,423859,2,04/07/2018,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,29,Car,Driver or rider,Slight,Male,23,,,,,,,,,,,,,,,,,,,,
5751089,414788,423020,2,05/07/2018,1512,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,52,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5761064,416281,422177,2,06/07/2018,1416,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,27,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Female,33,,,,,,,,,,,,,,,,,,,,
5770613,407971,425797,2,07/07/2018,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,16,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5772021,392124,425594,2,07/07/2018,2005,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,70,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57E1696,409310,424615,2,14/07/2018,1915,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,57,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57G1224,407796,424177,1,16/07/2018,1200,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Female,2,,,,,,,,,,,,,,,,,,,,,,,,,
57H0345,405287,423436,2,17/07/2018,741,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,38,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57I0434,414673,424239,1,18/07/2018,850,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,34,,,,,,,,,,,,,,,,,,,,,,,,,
57I1719,415130,422808,3,18/07/2018,1923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
57J1579,408419,422736,2,19/07/2018,1745,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22,Car,Driver or rider,Slight,Female,41,,,,,,,,,,,,,,,,,,,,
57J2063,414695,423140,2,19/07/2018,1800,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,15,Car,Vehicle or pillion passenger,Slight,Male,10,,Vehicle or pillion passenger,Slight,Male,16,,,,,,,,,,,,,,,
57K0916,393400,421421,2,20/07/2018,1255,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,48,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57L0209,392752,425185,2,21/07/2018,209,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,41,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57M1391,409990,427395,2,22/07/2018,1610,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,54,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57O0694,408096,427373,2,24/07/2018,1110,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,4,Car,Vehicle or pillion passenger,Slight,Male,6,,Vehicle or pillion passenger,Slight,Female,1,,,,,,,,,,,,,,,
57O1378,400382,415879,1,24/07/2018,1620,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,23,,Vehicle or pillion passenger,Slight,Male,20,,,,,,,,,,,,,,,,,,,,
57Q0706,406700,424760,2,26/07/2018,1105,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38,Car,Driver or rider,Slight,Female,50,,,,,,,,,,,,,,,,,,,,
